Battery, Cycle_No, Date, Time, Temp, Reading_number, Sense_current_real, Sense_current_i, Battery_current_real, Battery_current_i, Current_ratio_real, Current_ratio_i, Battery_impedance_real, Battery_impedance_i, Rectified_Impedance_real, Rectified_Impedance_i, Re, Rct
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 31, 798.005066, -15.195717, 366.992462, -11.298447, 2.173660, 0.025514, 0.174955, 0.007441, 0.071465, -0.002408, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 32, 802.872925, -18.737930, 361.492157, -4.688874, 2.221295, -0.023023, 0.173140, 0.006066, 0.068947, -0.002017, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 33, 796.409424, -34.010132, 368.025238, -20.667458, 2.162378, 0.029022, 0.171651, 0.004199, 0.067903, -0.003423, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 34, 797.487854, -37.437874, 365.830566, -17.220715, 2.179925, 0.000279, 0.170606, 0.001833, 0.066407, -0.001490, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 35, 796.298218, -41.069618, 367.924408, -13.386433, 2.165493, -0.032837, 0.170141, -0.001035, 0.066265, -0.001325, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 36, 795.885010, -41.042931, 367.806152, -14.205987, 2.164951, -0.027970, 0.170413, -0.004405, 0.065758, -0.000576, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 37, 795.886841, -55.305489, 368.721436, 1.573952, 2.157825, -0.159204, 0.171601, -0.008283, 0.066645, -0.000765, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 38, 799.912476, -70.004227, 364.638763, 15.022635, 2.182099, -0.281882, 0.173911, -0.012674, 0.065334, -0.000601, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 39, 807.799011, -87.196877, 355.445862, 34.115070, 2.228562, -0.459210, 0.177580, -0.017591, 0.064457, -0.000486, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 40, 828.143127, -102.631454, 336.498444, 50.721947, 2.361433, -0.660948, 0.182880, -0.023042,,, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 41, 847.829834, -115.480644, 316.842255, 65.861923, 2.492414, -0.882571, 0.190126, -0.029021,,, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 42, 869.340149, -120.262047, 291.718597, 78.008301, 2.678304, -1.128457, 0.199689, -0.035478,,, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 43, 889.491028, -109.650009, 267.776794, 88.116081, 2.875631, -1.355754, 0.212009, -0.042287,,, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 44, 900.478088, -72.382927, 245.324509, 101.301216, 3.031779, -1.546954, 0.227616, -0.049177,,, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 45, 906.156067, -11.236082, 223.297424, 121.697243, 3.107605, -1.743966, 0.247145, -0.055647,,, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 46, 908.755432, 106.907440, 182.250305, 145.537521, 3.330739, -2.073193, 0.271354, -0.060833,,, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 47, 880.667297, 278.611450, 139.558319, 157.827042, 3.759682, -2.255459, 0.301101, -0.063326,,, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 48, 807.703918, 436.982056, 94.808723, 161.921997, 4.184753, -2.537968, 0.337265, -0.060922,,, 0.065158, 0.095554
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 1, 835.942322, -23.705551, 322.038940, -96.220192, 2.403232, 0.644437, 0.167654, -0.124571, 0.096984, -0.003448, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 2, 827.396973, -36.538704, 332.002014, -81.992920, 2.374499, 0.476363, 0.187471, -0.100164, 0.097514, -0.002828, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 3, 827.666931, -44.549751, 329.495972, -73.904312, 2.420474, 0.407695, 0.200348, -0.077798, 0.097301, -0.002413, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 4, 827.189880, -50.216644, 332.245728, -67.912491, 2.419498, 0.343413, 0.208143, -0.058521, 0.097017, -0.002097, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 5, 826.770325, -50.605434, 332.093933, -59.924530, 2.437693, 0.287485, 0.212388, -0.042644, 0.096097, -0.001650, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 6, 826.241943, -56.816566, 333.440277, -55.681610, 2.438388, 0.236794, 0.214245, -0.030043, 0.097989, -0.001797, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 7, 824.655884, -58.371010, 334.311127, -50.122864, 2.438104, 0.190941, 0.214545, -0.020367, 0.096383, -0.001820, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 8, 821.946045, -63.134468, 335.952240, -48.521164, 2.423210, 0.162054, 0.213857, -0.013174, 0.093440, -0.002449, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 9, 823.414673, -64.451744, 334.373505, -46.667114, 2.441897, 0.148052, 0.212561, -0.008003, 0.093340, -0.002076, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 10, 820.809937, -66.152267, 337.146729, -44.435875, 2.418428, 0.122536, 0.210899, -0.004420, 0.093393, -0.002320, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 11, 820.492188, -55.268806, 340.999390, -41.675312, 2.390246, 0.130046, 0.209028, -0.002035, 0.092271, -0.002410, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 12, 817.669678, -56.785156, 342.101349, -39.109581, 2.378035, 0.105872, 0.207045, -0.000513, 0.091681, -0.002887, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 13, 817.498779, -57.736107, 341.881989, -39.480370, 2.378950, 0.105843, 0.205011, 0.000424, 0.090147, -0.003048, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 14, 816.906067, -56.897736, 344.525452, -40.159023, 2.358313, 0.109745, 0.202962, 0.001003, 0.089129, -0.003534, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 15, 815.805054, -56.878136, 344.669373, -39.823402, 2.354555, 0.107025, 0.200920, 0.001398, 0.088983, -0.003140, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 16, 815.123474, -37.343788, 348.208954, -31.813763, 2.331242, 0.105746, 0.198894, 0.001741, 0.085849, -0.003853, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 17, 812.909058, -34.980843, 349.869476, -32.924957, 2.312394, 0.117629, 0.196885, 0.002123, 0.086254, -0.003287, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 18, 813.501526, -36.584797, 350.597778, -31.760849, 2.310816, 0.104988, 0.194888, 0.002602, 0.083883, -0.002869, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 19, 809.050293, -33.995605, 353.614410, -33.511501, 2.276609, 0.119613, 0.192894, 0.003203, 0.082596, -0.002245, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 20, 808.708862, -36.804131, 355.357239, -31.615002, 2.267033, 0.098121, 0.190891, 0.003929, 0.081549, -0.002672, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 21, 806.060547, -38.145546, 357.266785, -29.999660, 2.249293, 0.082102, 0.188865, 0.004759, 0.079982, -0.003285, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 22, 804.460510, 2.331739, 360.238220, -11.420667, 2.230688, 0.077192, 0.186806, 0.005656, 0.078182, -0.002822, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 23, 803.124512, 2.112650, 361.605682, -12.090059, 2.218320, 0.080011, 0.184705, 0.006570, 0.079338, -0.003644, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 24, 800.986694, 2.915783, 362.978668, -13.278867, 2.203462, 0.088642, 0.182559, 0.007441, 0.073596, -0.002778, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 25, 799.087708, 0.993549, 365.854492, -12.104649, 2.181690, 0.074899, 0.180373, 0.008204, 0.075370, -0.002464, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 26, 801.209412, 2.724619, 364.430389, -13.852677, 2.195069, 0.090915, 0.178160, 0.008792, 0.073129, -0.002521, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 27, 793.436584, 2.515396, 372.140076, -10.274832, 2.130281, 0.065577, 0.175944, 0.009142, 0.073030, -0.001784, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 28, 794.904907, -10.574463, 369.511108, -14.158604, 2.149175, 0.053733, 0.173756, 0.009193, 0.071296, -0.003133, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 29, 793.075928, -11.725895, 371.300964, -13.588097, 2.134236, 0.046524, 0.171642, 0.008893, 0.070061, -0.001973, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 30, 794.140442, -12.565882, 371.473236, -10.821329, 2.136985, 0.028425, 0.169658, 0.008199, 0.069050, -0.002113, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 31, 792.049072, -12.338816, 372.624451, -13.762373, 2.123922, 0.045331, 0.167871, 0.007077, 0.067712, -0.001791, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 32, 792.733032, -18.744831, 372.992706, -7.220038, 2.125508, -0.009112, 0.166361, 0.005506, 0.066112, -0.001633, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 33, 791.879028, -35.252892, 371.728699, -19.479919, 2.129383, 0.016752, 0.165224, 0.003468, 0.065484, -0.001668, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 34, 792.203552, -37.996017, 371.098389, -15.212014, 2.135362, -0.014856, 0.164569, 0.000956, 0.063655, -0.000972, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 35, 792.355652, -41.617195, 371.976929, -12.220915, 2.131495, -0.041853, 0.164525, -0.002036, 0.063895, -0.000670, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 36, 791.285339, -46.369453, 371.123596, -7.709142, 2.133809, -0.080619, 0.165240, -0.005514, 0.063940, -0.000520, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 37, 791.732483, -56.908157, 372.621613, 3.440059, 2.123172, -0.172325, 0.166885, -0.009485, 0.063451, -0.000925, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 38, 796.295105, -70.357498, 367.783386, 18.524435, 2.150030, -0.299594, 0.169660, -0.013963, 0.064842, -0.000278, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 39, 807.558777, -87.929367, 359.028534, 34.660969, 2.205093, -0.457791, 0.173795, -0.018960, 0.063796, 0.000192, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 40, 824.020264, -102.331154, 340.866394, 51.032829, 2.320471, -0.647618, 0.179557, -0.024485,,, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 41, 846.039795, -117.566147, 316.941650, 66.786339, 2.481054, -0.893750, 0.187260, -0.030525,,, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 42, 869.387512, -122.508759, 292.117615, 80.916023, 2.656184, -1.155140, 0.197277, -0.037020,,, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 43, 887.027710, -112.519943, 267.930206, 92.808990, 2.826099, -1.398899, 0.210052, -0.043819,,, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 44, 901.043823, -75.809921, 244.673981, 102.432106, 3.023075, -1.575443, 0.226123, -0.050621,,, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 45, 905.604980, -14.598042, 224.965637, 124.491570, 3.054299, -1.755079, 0.246140, -0.056873,,, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 46, 911.433960, 110.693031, 181.511734, 144.959351, 3.363285, -2.076156, 0.270871, -0.061643,,, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 47, 879.267639, 274.344055, 139.777512, 159.737335, 3.700575, -2.266286, 0.301180, -0.063424,,, 0.063198, 0.102295
B0018, 4, 2008-07-07, 16:14:05.33, 24.00, 48, 806.830750, 437.782013, 95.547501, 159.938187, 4.238278, -2.512682, 0.337920, -0.059881,,, 0.063198, 0.102295
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 1, 826.402588, -26.207108, 331.540710, -93.859863, 2.328379, 0.580122, 0.162966, -0.127758, 0.092941, -0.001497, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 2, 820.544373, -36.744629, 338.701721, -80.368195, 2.317856, 0.441501, 0.181523, -0.101800, 0.092001, -0.000877, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 3, 820.747375, -45.963219, 338.837158, -71.864487, 2.345510, 0.361813, 0.193055, -0.078645, 0.090338, -0.000487, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 4, 821.549438, -53.512836, 337.409515, -64.496658, 2.378289, 0.296017, 0.199685, -0.059122, 0.090824, -0.000681, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 5, 819.705872, -53.377556, 339.045563, -56.519737, 2.377851, 0.238959, 0.203066, -0.043340, 0.092202, -0.001271, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 6, 818.395020, -57.710625, 342.439087, -51.745216, 2.361445, 0.188305, 0.204393, -0.031022, 0.089464, -0.000021, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 7, 816.789795, -63.124474, 341.529236, -49.083233, 2.369195, 0.155662, 0.204482, -0.021714, 0.089747, -0.001125, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 8, 818.606201, -63.808506, 341.005402, -48.743004, 2.378712, 0.152892, 0.203867, -0.014906, 0.087780, -0.000897, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 9, 817.163330, -65.778709, 346.317719, -43.237831, 2.346711, 0.103050, 0.202883, -0.010102, 0.089842, -0.001005, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 10, 813.837952, -67.367867, 345.310516, -44.344154, 2.343240, 0.105821, 0.201729, -0.006848, 0.086874, -0.000834, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 11, 812.382568, -57.607147, 347.619537, -38.315247, 2.326983, 0.090765, 0.200519, -0.004748, 0.089349, -0.001323, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 12, 814.594421, -59.606091, 346.998962, -37.225857, 2.339050, 0.079156, 0.199316, -0.003466, 0.087563, -0.001207, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 13, 811.120056, -61.555801, 350.680298, -37.150375, 2.305709, 0.068730, 0.198145, -0.002722, 0.086630, -0.001044, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 14, 811.708679, -59.164738, 347.676147, -37.715385, 2.325760, 0.082123, 0.197017, -0.002291, 0.088604, -0.001446, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 15, 812.021851, -59.381783, 350.716827, -35.493782, 2.308809, 0.064344, 0.195925, -0.001996, 0.087129, -0.001277, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 16, 811.584656, -41.051628, 353.383362, -26.322784, 2.292546, 0.054599, 0.194859, -0.001703, 0.084492, -0.000702, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 17, 811.696838, -39.282753, 350.971222, -26.685972, 2.307884, 0.063553, 0.193798, -0.001319, 0.087437, -0.002127, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 18, 811.461243, -39.976219, 353.568726, -26.236483, 2.290835, 0.056926, 0.192721, -0.000785, 0.084687, -0.001718, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 19, 806.936523, -41.912262, 356.173889, -24.206440, 2.263113, 0.036133, 0.191604, -0.000073, 0.083581, -0.001267, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 20, 808.422119, -39.230797, 353.579102, -27.621197, 2.281144, 0.067247, 0.190420, 0.000818, 0.083433, -0.002292, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 21, 806.483154, -40.403130, 356.422455, -25.923086, 2.259012, 0.050944, 0.189144, 0.001867, 0.082241, -0.002463, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 22, 807.082397, 0.057205, 359.764709, -8.101263, 2.242221, 0.050650, 0.187755, 0.003030, 0.080605, -0.002991, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 23, 805.687988, -0.657490, 359.341003, -11.351541, 2.239949, 0.068930, 0.186239, 0.004251, 0.075070, -0.002980, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 24, 803.739319, -0.706512, 360.147400, -10.784722, 2.229755, 0.064809, 0.184585, 0.005462, 0.077699, -0.002526, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 25, 802.473328, -0.723049, 362.770081, -13.136507, 2.209247, 0.078007, 0.182797, 0.006587, 0.077683, -0.002454, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 26, 796.354187, 1.023184, 370.542145, -12.534873, 2.146610, 0.075378, 0.180887, 0.007548, 0.074722, -0.002364, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 27, 798.238037, -0.633781, 366.397766, -9.634289, 2.177151, 0.055518, 0.178879, 0.008269, 0.074190, -0.002041, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 28, 798.620361, -12.046577, 366.742737, -14.318134, 2.175570, 0.052090, 0.176811, 0.008677, 0.073590, -0.002386, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 29, 795.581421, -12.362328, 369.373291, -12.739786, 2.152462, 0.040771, 0.174734, 0.008712, 0.071676, -0.002416, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 30, 794.830872, -13.193130, 369.440125, -12.217779, 2.150276, 0.035401, 0.172710, 0.008321, 0.071208, -0.002093, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 31, 795.666992, -15.872293, 369.945587, -11.062489, 2.150128, 0.021391, 0.170816, 0.007465, 0.070043, -0.002443, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 32, 796.690857, -17.465723, 371.525940, -8.642459, 2.144308, 0.002870, 0.169142, 0.006117, 0.067028, -0.001914, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 33, 795.421814, -35.402512, 369.054901, -18.834053, 2.154578, 0.014028, 0.167790, 0.004260, 0.066031, -0.002018, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 34, 795.025452, -36.324936, 367.506744, -17.297823, 2.163155, 0.002974, 0.166880, 0.001886, 0.065256, -0.001675, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 35, 791.792542, -39.963413, 369.745972, -12.806769, 2.142623, -0.033870, 0.166547, -0.001008, 0.064812, -0.001312, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 36, 793.489746, -44.756908, 370.925812, -8.778996, 2.140871, -0.069993, 0.166949, -0.004423, 0.065286, -0.001029, 0.062696, 0.091619
B0018, 6, 2008-07-07, 21:21:23.06, 24.00, 37, 794.353455, -53.842049, 370.352631, 1.045762, 2.144429, -0.151436, 0.168262, -0.008366, 0.063439, -0.001316, 0.062696, 0.091619
